index,prediction
75166,11.4 centimetre
75165,137.2 centimetre
75161,14.5 centimetre
75159,27.7 centimetre
75058,35.0 centimetre
75059,19000.0 centimetre
75065,18.0 centimetre
75066,25.0 centimetre
75070,43.0 centimetre
75077,4.0 centimetre
75087,13.3 centimetre
75096,6.9 centimetre
75098,31.0 centimetre
75103,40.0 centimetre
75107,4.3 centimetre
75239,2836.0 centimetre
75109,2000.0 centimetre
75115,18.0 centimetre
75118,12.0 centimetre
75119,19.0 centimetre
75121,83.8 centimetre
75122,42.5 centimetre
75126,
75135,85.7 centimetre
75139,7.9 centimetre
75141,7.5 centimetre
75145,2.0 centimetre
75155,5000.0 centimetre
75114,
75249,16.0 centimetre
75251,86.4 centimetre
75253,76.2 centimetre
75356,17.5 centimetre
75360,38.0 centimetre
75366,30.0 centimetre
75370,2000.0 centimetre
75371,34.2 centimetre
75372,15.0 centimetre
75374,8.5 centimetre
75379,44.7 centimetre
75382,72.0 centimetre
75384,15.0 centimetre
75386,15000.0 centimetre
75354,76.8 centimetre
75387,
75391,8.4 centimetre
75392,120.0 centimetre
75397,15.2 centimetre
75403,7.0 centimetre
75404,13.0 centimetre
75406,
75413,75.0 centimetre
75416,33.5 centimetre
75420,15.2 centimetre
75423,14.0 centimetre
75425,21.5 centimetre
75390,73.0 centimetre
75795,24.0 centimetre
75350,99.1 centimetre
75343,15000.0 centimetre
75255,
75264,26.0 centimetre
75268,12.0 centimetre
75270,
75273,76.2 centimetre
75275,19.1 centimetre
75280,6.5 centimetre
75282,3.5 centimetre
75286,15.0 centimetre
75287,5.5 centimetre
75290,21.2 centimetre
75345,16.0 centimetre
75301,17.0 centimetre
75309,140.0 centimetre
75311,
75315,100.0 centimetre
75320,19.0 centimetre
75324,13.5 centimetre
75325,50.0 centimetre
75330,18000.0 centimetre
75331,90.0 centimetre
75333,10.0 centimetre
75335,30.5 centimetre
75340,5200.0 centimetre
75306,
75797,9.5 centimetre
75800,43.0 centimetre
75801,9000.0 centimetre
76283,71.0 centimetre
76285,5.5 centimetre
76286,45.0 centimetre
76287,15.8 centimetre
76290,33.0 centimetre
76291,28.0 centimetre
76292,15.2 centimetre
76295,21.5 centimetre
76297,28.0 centimetre
76300,182.9 centimetre
76301,41.9 centimetre
76304,9.0 centimetre
76308,7.6 centimetre
76315,7.0 centimetre
76317,
76320,4.5 centimetre
76322,62.0 centimetre
76326,3.0 centimetre
76333,5.1 centimetre
76337,1.6 centimetre
76341,5.1 centimetre
76344,3.8 centimetre
76346,13500.0 centimetre
76280,20.0 centimetre
76279,21500.0 centimetre
76276,71.0 centimetre
76274,42.0 centimetre
76201,16.1 centimetre
76206,95.0 centimetre
76208,29.0 centimetre
76213,26.0 centimetre
76221,20.0 centimetre
76226,6000.0 centimetre
76228,5.1 centimetre
76233,2.5 centimetre
76235,
76236,7500.0 centimetre
76240,28.0 centimetre
76348,143.0 centimetre
76241,182.9 centimetre
76247,80.0 centimetre
76249,40000.0 centimetre
76251,50.0 centimetre
76255,100.0 centimetre
76257,26.0 centimetre
76260,13.7 centimetre
76262,61.0 centimetre
76265,18.0 centimetre
76267,48.0 centimetre
76269,6.0 centimetre
76273,17000.0 centimetre
76245,7.0 centimetre
76351,2.5 centimetre
76353,180.0 centimetre
76356,10.0 centimetre
76440,30.0 centimetre
76444,48.0 centimetre
76445,
76446,15.2 centimetre
76459,27.0 centimetre
76464,13.0 centimetre
76467,9.5 centimetre
76468,15000.0 centimetre
76474,32.5 centimetre
76479,90.0 centimetre
76482,5.0 centimetre
76439,80.0 centimetre
76485,5.0 centimetre
76493,15.0 centimetre
76498,12.7 centimetre
76499,80000.0 centimetre
76515,20.0 centimetre
76518,228.6 centimetre
76519,74.5 centimetre
76522,175.5 centimetre
76535,15000.0 centimetre
76537,39.9 centimetre
76538,9000.0 centimetre
76552,57.0 centimetre
76486,365.8 centimetre
76199,4.7 centimetre
76438,14.0 centimetre
76433,21.0 centimetre
76357,
76358,178.0 centimetre
76361,36.0 centimetre
76366,6.5 centimetre
76376,6.5 centimetre
76380,25.0 centimetre
76381,5000.0 centimetre
76387,9.0 centimetre
76389,30.5 centimetre
76391,25.4 centimetre
76393,152.4 centimetre
76436,22.0 centimetre
76394,3.5 centimetre
76400,200.0 centimetre
76406,13.7 centimetre
76409,3700.0 centimetre
76412,20.5 centimetre
76413,53.3 centimetre
76418,10.5 centimetre
76422,12.7 centimetre
76423,62.0 centimetre
76426,10.0 centimetre
76427,8.0 centimetre
76429,18.5 centimetre
76397,30.0 centimetre
76555,12.8 centimetre
76195,4.0 centimetre
76191,7.0 centimetre
75896,10.0 centimetre
75898,38.5 centimetre
75907,10.0 centimetre
75908,50.0 centimetre
75911,52.0 centimetre
75915,14.0 centimetre
75916,61.0 centimetre
75918,6.0 centimetre
75921,2.0 centimetre
75935,27.0 centimetre
75937,5.0 centimetre
75941,45.2 centimetre
75948,14.3 centimetre
75951,8.9 centimetre
75955,13.0 centimetre
75956,12.0 centimetre
75966,14.0 centimetre
75968,45.0 centimetre
75969,147.0 centimetre
75972,20.3 centimetre
75977,15.5 centimetre
75978,28.0 centimetre
75980,142.2 centimetre
75891,8.0 centimetre
75890,12.0 centimetre
75888,32.8 centimetre
75886,25.4 centimetre
75809,68.6 centimetre
75810,2.3 centimetre
75812,42.0 centimetre
75822,43.2 centimetre
75823,14.0 centimetre
75828,48.3 centimetre
75829,16.7 centimetre
75838,7100.0 centimetre
75841,3.8 centimetre
75842,2.5 centimetre
75847,7000.0 centimetre
75986,17.3 centimetre
75854,8.6 centimetre
75858,3000.0 centimetre
75860,45.0 centimetre
75863,12.4 centimetre
75867,8.0 centimetre
75869,3000.0 centimetre
75872,20.0 centimetre
75877,10700.0 centimetre
75879,16500.0 centimetre
75881,5000.0 centimetre
75882,
75884,39.0 centimetre
75855,200.0 centimetre
75987,4700.0 centimetre
75994,7000.0 centimetre
75996,18.0 centimetre
76103,2800.0 centimetre
76107,20.0 centimetre
76111,16.0 centimetre
76112,17.0 centimetre
76113,5800.0 centimetre
76118,7.2 centimetre
76123,12.6 centimetre
76130,20.3 centimetre
76132,21.2 centimetre
76136,48.0 centimetre
76141,50.8 centimetre
76101,50.0 centimetre
76143,230.0 centimetre
76154,50.0 centimetre
76157,6.9 centimetre
76162,4400.0 centimetre
76163,28000.0 centimetre
76165,3.8 centimetre
76169,16.0 centimetre
76170,8.5 centimetre
76176,17.0 centimetre
76178,33.0 centimetre
76180,1600.0 centimetre
76183,12.0 centimetre
76151,21.8 centimetre
76192,8.3 centimetre
76099,21.0 centimetre
76091,7000.0 centimetre
75997,
76001,40.4 centimetre
76004,3.5 centimetre
76006,28.0 centimetre
76008,11.0 centimetre
76020,1600.0 centimetre
76021,12.0 centimetre
76022,9.9 centimetre
76033,21500.0 centimetre
76037,24.0 centimetre
76041,3.9 centimetre
76094,130.0 centimetre
76044,8.6 centimetre
76053,
76056,100000.0 centimetre
76060,9.0 centimetre
76061,21.0 centimetre
76068,13.5 centimetre
76074,11.4 centimetre
76078,4000.0 centimetre
76085,15.5 centimetre
76086,18.0 centimetre
76088,35.3 centimetre
76089,39.9 centimetre
76047,30.5 centimetre
72198,69.0 centimetre
72196,203.0 centimetre
72192,8.0 centimetre
68284,15.0 centimetre
68288,9.7 centimetre
68295,24.0 centimetre
68298,182.9 centimetre
68303,8.0 centimetre
68311,10.0 centimetre
68315,8.9 centimetre
68318,10.8 centimetre
68325,50.8 centimetre
68328,6700.0 centimetre
68335,
68337,50.0 centimetre
68339,15.2 centimetre
68343,18.0 centimetre
68344,34.0 centimetre
68346,13800.0 centimetre
68349,23.0 centimetre
68352,17.8 centimetre
68356,15.2 centimetre
68357,45.7 centimetre
68358,15.0 centimetre
68359,8.0 centimetre
68364,17.0 centimetre
68282,70.0 centimetre
68280,1.0 centimetre
68279,15.0 centimetre
68268,4.0 centimetre
68198,6.0 centimetre
68202,1000.0 centimetre
68204,27.0 centimetre
68206,38.0 centimetre
68209,4300.0 centimetre
68210,50.8 centimetre
68212,33.0 centimetre
68215,22.0 centimetre
68219,35.6 centimetre
68221,99.7 centimetre
68222,14000.0 centimetre
68368,13.0 centimetre
68226,17.8 centimetre
68235,14.0 centimetre
68240,8.0 centimetre
68243,152.4 centimetre
68247,
68249,174.0 centimetre
68252,12.5 centimetre
68253,43.2 centimetre
68259,59.9 centimetre
68261,17.0 centimetre
68262,9200.0 centimetre
68264,40.0 centimetre
68233,4.6 centimetre
68197,125.0 centimetre
68373,8.5 centimetre
68376,27.0 centimetre
68479,30.0 centimetre
68480,13200.0 centimetre
68483,18.5 centimetre
68484,8.3 centimetre
68489,10200.0 centimetre
68491,30.0 centimetre
68494,24.5 centimetre
68495,26.0 centimetre
68500,15.2 centimetre
68505,34.4 centimetre
68507,21000.0 centimetre
68509,7.6 centimetre
68510,8800.0 centimetre
68512,14.0 centimetre
68515,41.1 centimetre
68518,76.0 centimetre
68525,35.0 centimetre
68528,180.0 centimetre
68529,49.0 centimetre
68532,21.1 centimetre
68542,
68544,
68545,26.0 centimetre
68474,26.9 centimetre
68468,32300.0 centimetre
68466,
68456,26.7 centimetre
68379,
68380,19.0 centimetre
68381,7.5 centimetre
68385,8.5 centimetre
68389,5.1 centimetre
68391,7.0 centimetre
68392,7.0 centimetre
68400,8.4 centimetre
68401,4.5 centimetre
68403,6.5 centimetre
68405,22.4 centimetre
68374,4400.0 centimetre
68406,
68413,42.0 centimetre
68415,4.5 centimetre
68417,50.5 centimetre
68418,41.0 centimetre
68429,12.8 centimetre
68431,7.6 centimetre
68433,76000.0 centimetre
68435,22.1 centimetre
68439,40.4 centimetre
68446,1.4 centimetre
68450,4300.0 centimetre
68409,60.3 centimetre
68196,4.5 centimetre
68194,228.6 centimetre
68190,21.0 centimetre
67902,8000.0 centimetre
67903,26.4 centimetre
67907,
67916,19.0 centimetre
67927,16.0 centimetre
67930,35.6 centimetre
67933,41.9 centimetre
67934,180.0 centimetre
67939,18.0 centimetre
67940,8000.0 centimetre
67946,12.9 centimetre
67948,48.1 centimetre
67949,27400.0 centimetre
67952,5.0 centimetre
67964,2.5 centimetre
67967,165.1 centimetre
67970,120.0 centimetre
67980,10.5 centimetre
67982,9.3 centimetre
67985,43000.0 centimetre
67986,20.0 centimetre
67990,21.0 centimetre
67992,23.0 centimetre
67900,53.0 centimetre
67898,45.0 centimetre
67893,18.0 centimetre
67886,10.0 centimetre
67814,4.0 centimetre
67816,70.9 centimetre
67819,11.4 centimetre
67825,34.0 centimetre
67827,83.6 centimetre
67831,21.0 centimetre
67835,10.0 centimetre
67844,45.7 centimetre
67850,12.7 centimetre
67853,17.8 centimetre
67855,17.8 centimetre
67996,29.0 centimetre
67859,114.3 centimetre
67862,68.1 centimetre
67867,40.4 centimetre
67868,7.0 centimetre
67871,35.4 centimetre
67874,71.0 centimetre
67875,74.0 centimetre
67877,13.5 centimetre
67878,76.2 centimetre
67879,47.0 centimetre
67880,19.7 centimetre
67881,45.0 centimetre
67861,72.0 centimetre
67998,54.1 centimetre
68007,50.0 centimetre
68009,14.6 centimetre
68106,47.0 centimetre
68107,70.0 centimetre
68111,
68114,20.0 centimetre
68118,1.8 centimetre
68121,30.0 centimetre
68123,10.0 centimetre
68126,12.7 centimetre
68129,3.2 centimetre
68131,40.0 centimetre
68134,35.1 centimetre
68102,9.4 centimetre
68135,84.0 centimetre
68141,12.7 centimetre
68147,150.0 centimetre
68148,19.5 centimetre
68150,14.0 centimetre
68154,
68158,20.0 centimetre
68162,10.0 centimetre
68170,
68173,47.0 centimetre
68188,145.0 centimetre
68189,26.7 centimetre
68136,14.5 centimetre
68546,80.0 centimetre
68101,40.0 centimetre
68094,40.9 centimetre
68010,10.0 centimetre
68015,10.0 centimetre
68018,8.0 centimetre
68022,38.5 centimetre
68026,9.5 centimetre
68029,30.0 centimetre
68038,25.0 centimetre
68039,20.0 centimetre
68040,7.5 centimetre
68042,12.5 centimetre
68046,76.2 centimetre
68100,5.5 centimetre
68047,205.7 centimetre
68058,40.0 centimetre
68059,73.7 centimetre
68066,30.0 centimetre
68068,6000.0 centimetre
68069,40.4 centimetre
68071,
68079,
68083,
68085,39.6 centimetre
68088,60.0 centimetre
68092,134.0 centimetre
68050,140.0 centimetre
68550,7900.0 centimetre
68553,
68554,43.2 centimetre
69040,160.3 centimetre
69043,60.0 centimetre
69045,39.0 centimetre
69049,61.0 centimetre
69056,21.6 centimetre
69059,8.8 centimetre
69062,80.0 centimetre
69063,18.0 centimetre
69068,4.0 centimetre
69070,28.5 centimetre
69071,
69072,43.2 centimetre
69079,15.5 centimetre
69080,10.5 centimetre
69082,50400.0 centimetre
69089,14.0 centimetre
69090,32.0 centimetre
69096,21.0 centimetre
69104,27.5 centimetre
69109,13.0 centimetre
69110,19.0 centimetre
69113,12.5 centimetre
69117,9.0 centimetre
69039,17.0 centimetre
69033,30.5 centimetre
69032,19.0 centimetre
69027,223.5 centimetre
68954,10.5 centimetre
68957,129.5 centimetre
68960,13.0 centimetre
68964,14.8 centimetre
68968,44.5 centimetre
68972,12.2 centimetre
68976,12.5 centimetre
68978,12.5 centimetre
68980,59.0 centimetre
68985,73.7 centimetre
68986,15.0 centimetre
69120,70.0 centimetre
68990,16.0 centimetre
68995,40.0 centimetre
68998,16.5 centimetre
69003,28.0 centimetre
69006,20.3 centimetre
69011,
69012,33.0 centimetre
69013,40.5 centimetre
69017,41.5 centimetre
69021,50.8 centimetre
69023,39000.0 centimetre
69024,182.9 centimetre
68992,8.5 centimetre
69123,42.0 centimetre
69125,14.5 centimetre
69126,18.5 centimetre
69237,2000.0 centimetre
69238,30.0 centimetre
69239,13.0 centimetre
69242,12.7 centimetre
69246,7.6 centimetre
69253,7.0 centimetre
69257,8.2 centimetre
69262,14.0 centimetre
69264,
69271,15.0 centimetre
69278,12.0 centimetre
69233,40000.0 centimetre
69285,14.5 centimetre
69291,182.0 centimetre
69298,48.5 centimetre
69300,38.5 centimetre
69302,6.5 centimetre
69304,208.3 centimetre
69312,21.0 centimetre
69322,19.1 centimetre
69323,9000.0 centimetre
69325,18.0 centimetre
69327,14.5 centimetre
69333,20.0 centimetre
69290,24.8 centimetre
68953,7800.0 centimetre
69228,14.5 centimetre
69226,38.0 centimetre
69130,20.0 centimetre
69132,18.0 centimetre
69136,5.0 centimetre
69137,3.5 centimetre
69142,43.0 centimetre
69152,14.5 centimetre
69160,16.0 centimetre
69161,12.0 centimetre
69163,63.5 centimetre
69164,8.8 centimetre
69168,3.5 centimetre
69227,17.8 centimetre
69173,52.0 centimetre
69182,
69185,61000.0 centimetre
69186,180.0 centimetre
69193,5.8 centimetre
69202,12.2 centimetre
69206,30.0 centimetre
69210,10.2 centimetre
69214,14.0 centimetre
69216,55000.0 centimetre
69221,150.0 centimetre
69223,
69180,25.0 centimetre
67810,12.6 centimetre
68943,30.5 centimetre
68933,23.9 centimetre
68666,2500.0 centimetre
68668,20.3 centimetre
68672,6500.0 centimetre
68674,15.9 centimetre
68675,435.0 centimetre
68682,20.3 centimetre
68686,43.2 centimetre
68690,28000.0 centimetre
68693,60.0 centimetre
68703,121.9 centimetre
68709,10.0 centimetre
68711,37.1 centimetre
68712,17.5 centimetre
68715,45000.0 centimetre
68717,13.5 centimetre
68720,
68723,13.0 centimetre
68725,14.0 centimetre
68727,90.4 centimetre
68729,12.7 centimetre
68733,
68736,77.5 centimetre
68740,2.5 centimetre
68663,5.6 centimetre
68661,1470.0 centimetre
68660,24500.0 centimetre
68657,165.0 centimetre
68555,45.7 centimetre
68557,8.0 centimetre
68565,91.4 centimetre
68573,17.3 centimetre
68578,5000.0 centimetre
68583,197.2 centimetre
68587,8.5 centimetre
68589,16.0 centimetre
68591,35000.0 centimetre
68595,20.1 centimetre
68600,20.3 centimetre
68741,8.5 centimetre
68601,88.9 centimetre
68609,19.8 centimetre
68612,60.0 centimetre
68614,8.0 centimetre
68619,42100.0 centimetre
68622,10.0 centimetre
68626,14.0 centimetre
68636,18.0 centimetre
68644,10.0 centimetre
68645,
68648,
68654,55.9 centimetre
68608,5.0 centimetre
68746,8.5 centimetre
68747,42.0 centimetre
68753,80.0 centimetre
68857,45.1 centimetre
68858,
68859,24.0 centimetre
68869,20.1 centimetre
68871,17.0 centimetre
68873,7800.0 centimetre
68874,190.0 centimetre
68876,4500.0 centimetre
68881,5.0 centimetre
68882,60.0 centimetre
68884,16.0 centimetre
68852,180.0 centimetre
68896,8100.0 centimetre
68906,27.5 centimetre
68907,12.0 centimetre
68910,15.7 centimetre
68911,8.5 centimetre
68917,2300.0 centimetre
68922,46.0 centimetre
68924,31.0 centimetre
68925,4600.0 centimetre
68928,14000.0 centimetre
68930,6.0 centimetre
68932,300.0 centimetre
68903,8.9 centimetre
68934,3.5 centimetre
68848,10.0 centimetre
68840,7.3 centimetre
68762,30.0 centimetre
68764,89.9 centimetre
68768,78000.0 centimetre
68770,48.0 centimetre
68771,7500.0 centimetre
68776,
68780,32.0 centimetre
68784,14.0 centimetre
68787,94.0 centimetre
68790,17.0 centimetre
68792,43.0 centimetre
68841,50.0 centimetre
68798,15.0 centimetre
68806,43.0 centimetre
68808,18000.0 centimetre
68810,47.5 centimetre
68812,142.0 centimetre
68814,47.0 centimetre
68817,3.0 centimetre
68822,59.9 centimetre
68824,22.1 centimetre
68825,28.8 centimetre
68835,30000.0 centimetre
68837,7.7 centimetre
68800,26.0 centimetre
69334,45.0 centimetre
67807,8.9 centimetre
67799,8.2 centimetre
66737,48.0 centimetre
66742,5.2 centimetre
66745,10.0 centimetre
