index,prediction
2501,
2508,200.0 kilogram
2510,
2511,100.0 watt
2516,200.0 millilitre
2521,
2522,
2523,
2525,
2526,300.0 watt
2541,
2542,500.0 watt
2551,250.0 kilogram
2561,265.0 pound
2563,
2564,2000.0 watt
2567,
2569,5.02 volt
2570,
2571,
2574,
2576,21.60 volt
2578,700.0 pound
2579,
2580,
2582,120.0 volt
2583,60.0 watt
2589,18.0 pound
2597,10.0 pound
2603,264.5 pound
2616,
2617,
2618,330.0 pound
2627,30.0 pound
2628,
2629,
2630,200.0 pound
2632,10.0 pound
2633,3.0 watt
2634,110.0 volt
2639,100.0 pound
2643,"[220.0, 240.0] volt"
2644,
2646,330.0 pound
2653,
2654,
2657,600.0 pound
2658,414.0 millilitre
2659,12.0 volt
2664,2500.0 pound
2673,100.0 kilogram
2685,
2686,
2688,
2689,4.0 watt
2690,15.0 volt
2695,
2702,600.0 pound
2706,15.0 volt
2707,
2713,330.0 pound
2715,30.0 pound
2728,
2731,
2732,
2733,40101.0 volt
2734,1.17 watt
2735,
2736,
2737,
2738,
2744,4.20 volt
2754,
2759,1570.0 watt
2760,
2763,75.0 pound
2774,330.0 pound
2777,
2778,120.0 watt
2780,220.0 volt
2783,200.0 pound
2808,45.0 pound
2812,
2813,
2815,
2816,
2819,15.0 pound
2820,
2825,11.0 pound
2826,1200.0 watt
2827,120.0 volt
2828,
2829,1350.0 watt
2833,1600.0 watt
2840,
2841,
2844,
2845,
2850,80.0 pound
2854,20.0 millilitre
2856,
2857,
2862,16.80 volt
2863,
2866,15.0 watt
2870,
2877,65.0 gram
2889,
2894,
2895,
2896,
2907,18.0 volt
2914,3.0 volt
2917,1200.0 watt
2918,
2932,265.0 pound
2933,25.0 kilogram
2940,154.0 pound
2941,
2946,
2954,1.25 watt
2955,14.0 volt
2956,
2957,80.0 volt
2962,
2965,
2967,
2978,1150.0 watt
2979,
2986,330.0 pound
2987,
2989,
2990,
2991,50.0 gram
2996,
2997,5.0 watt
2999,150.0 kilogram
3008,
3013,
3014,
3015,1000.0 watt
3016,
3018,
3020,3.70 volt
3024,12.0 volt
3027,
3029,300.0 pound
3030,
3034,220.0 volt
3035,2000.0 watt
3039,1.95 watt
3040,50152.0 volt
3044,
3051,4.0 watt
3058,
3059,1000.0 pound
3062,
3063,
3065,330.0 pound
3068,443.0 millilitre
3071,
3075,
3082,120.0 watt
3084,
3092,300.0 pound
3101,
3107,200.0 gram
3108,286.0 pound
3115,470.0 millilitre
3116,15.0 volt
3118,22.0 pound
3120,
3121,
3125,
3138,
3139,
3143,65.0 pound
3145,330.0 pound
3146,
3147,
3148,
3149,
3152,
3167,
3168,120.0 pound
3174,
3175,
3176,
3182,
3183,
3190,120.0 volt
3191,1000.0 pound
3194,
3195,18.0 volt
3197,800.0 watt
3198,110.0 volt
3199,150.0 kilogram
3200,250.0 watt
3201,
3204,220.0 pound
3207,
3208,200.0 pound
3209,
3211,
3214,300.0 pound
3215,
3216,
3221,
3222,1500.0 watt
3234,
3239,
3244,
3245,
3246,30.0 millivolt
3249,9.0 volt
3253,
3254,1500.0 watt
3255,
3256,
3257,20.0 millilitre
3258,
3262,350.0 pound
3264,44.0 pound
3265,
3266,1300.0 watt
3268,
3274,
3275,
3287,
3290,500.0 millilitre
3291,5.0 volt
3292,48.0 watt
3294,
3297,
3303,
3317,
3321,15.0 kilogram
3323,
3324,
3325,
3326,
3327,
3328,600.0 watt
3333,25.0 pound
3336,4.0 pound
3338,60.0 pound
3347,200.0 pound
3348,
3349,17.0 pound
3351,
3352,
3359,
3360,250.0 watt
3367,1000.0 watt
3368,
3369,
3370,
3373,90.0 kilogram
3378,
3381,1800.0 watt
3382,
3383,
3384,330.0 pound
3395,100.0 pound
3396,300.0 kilogram
3398,
3400,
3403,
3406,750.0 pound
3415,
3416,
3423,
3424,3.60 volt
3427,
3428,230.0 volt
3434,21.0 volt
3442,220.0 pound
3446,
3454,
3455,
3456,
3457,340.0 millilitre
3467,
3468,
3469,8.0 watt
3471,3.70 volt
3489,
3503,330.0 pound
3511,
3520,
3521,
3522,250.0 pound
3525,
3526,
3529,250.0 millilitre
3535,220.0 pound
3536,
3541,
3542,2.0 watt
3551,560.0 pound
3562,200.0 pound
3567,
3568,
3570,
3577,12.0 volt
3578,
3581,230.0 volt
3582,5958.0 watt
3594,
3595,115.0 volt
3600,38.0 watt
3606,
3620,286.0 pound
3623,276.0 pound
3625,
3627,5.0 ton
3628,300.0 pound
3629,
3630,1700.0 watt
3631,
3637,75.0 kilogram
3638,220.0 pound
3640,1700.0 watt
3641,
3648,
3649,
3650,1500.0 pound
3653,220.0 volt
3654,
3658,
3666,110.0 volt
3667,
3668,
3674,500.0 millilitre
3689,
3690,
3705,
3709,
3710,
3711,22.0 watt
3712,
3715,250.0 pound
3716,
3717,
3718,
3720,
3721,
3728,127.0 volt
3737,300.0 pound
3739,450.0 pound
3742,
3743,1000.0 watt
3747,285.0 pound
3748,
3749,
3753,250.0 pound
3764,
3771,12.0 volt
3773,250.0 watt
3774,100.0 pound
3783,
3786,
3787,1400.0 gram
3793,8.0 volt
3798,265.0 pound
3808,
3809,12.0 volt
3810,
3811,
3813,180.0 pound
3825,
3827,120.0 watt
3834,
3835,
3836,330.0 pound
3841,
3849,
3850,
3851,
3854,
3861,33.0 pound
3863,
3866,32.0 pound
3883,34.0 gram
3887,
3893,
3909,2.4 kilogram
3912,5.0 volt
3917,250.0 kilogram
3922,400.0 pound
3923,
3924,265.0 pound
3928,400.0 volt
3929,0.29 kilowatt
3946,
3947,
3950,300.0 pound
3951,
3952,
3953,12.0 volt
3957,
3961,
3963,
3967,
3973,2400.0 watt
3975,
3976,
3977,150.0 kilogram
3982,400.0 pound
3984,
3985,15.71 watt
3988,
3989,300.0 watt
3999,100.0 millilitre
4001,
4007,
4013,450.0 pound
4014,330.0 pound
4024,
4038,8.0 fluid ounce
4039,
4040,
4053,3.70 volt
4065,
4066,600.0 pound
4068,1800.0 watt
4072,5.0 volt
4076,
4077,16.0 fluid ounce
4079,
4080,5.0 volt
4084,825.0 watt
4085,180.0 kilogram
4087,35.0 millilitre
4089,287.0 pound
4090,
4091,65.0 watt
4093,110.0 volt
4099,
4105,660.0 pound
4116,
4120,110.0 volt
4124,
4125,120.0 volt
4127,5.0 volt
4128,30.0 millilitre
4139,24.0 volt
4140,
4142,12200.0 watt
4144,1140.0 watt
4145,115.0 volt
4149,900.0 watt
4152,700.0 watt
4159,3.70 volt
4162,
4163,
4169,330.0 pound
4170,330.0 pound
4178,800.0 pound
4195,
4196,
4201,60.0 watt
4202,700.0 watt
4208,
4209,220.0 pound
4210,220.0 volt
4211,500.0 watt
4216,
4217,20.0 volt
4234,
4235,12.0 volt
4240,507.0 pound
4251,500.0 millilitre
4252,400.0 pound
4256,
4266,800.0 pound
4267,150.0 kilogram
4278,327.0 volt
4279,17.0 watt
4280,110.0 volt
4281,
4292,
4298,
4302,
4303,
4305,
4306,
4308,
4309,
4312,
4322,
4326,
4327,330.0 pound
4332,5005000.0 watt
4333,
4342,
4345,
4347,220.0 pound
4348,
4349,115.0 volt
4352,
4353,1350.0 watt
4366,266.0 millilitre
4369,1100.0 watt
4372,
4375,
4379,
4383,3.70 volt
4384,20.0 volt
4388,
4391,
4392,
4393,
4396,
4405,
4417,
4419,
4425,
4426,
4428,330.0 pound
4434,
4437,20.0 volt
4438,59.0 pound
4444,
4446,
4447,
4449,5.0 kilogram
4450,200.0 pound
4453,
4455,
4456,24.0 volt
4459,
4460,
4466,
4467,
4468,14.40 volt
4475,
4487,15.0 kilogram
4489,220.0 pound
4492,
4493,
4494,20.0 volt
4495,
4499,
4500,
4504,
4505,
4511,
4512,
4513,230.0 volt
4514,
4516,12.0 volt
4520,
4521,
4523,
4540,440.0 pound
4543,
4544,
4545,
4549,
4556,7.0 gram
4566,
4572,
4575,1500.0 watt
4576,
4603,400.0 pound
4605,2.0 ton
4606,14.13 watt
4607,
4617,4.20 volt
4619,180.0 pound
4620,
4629,
4630,80.0 volt
4631,
4635,110.0 pound
4638,
4639,
4642,
4651,
4654,550.0 pound
4659,
4663,
4664,120.0 watt
4668,110.0 pound
4671,
4676,330.0 millilitre
4683,
4684,
4685,500.0 millilitre
4686,150.0 pound
4692,430.0 millilitre
4703,
4704,1050.0 watt
4708,
4711,
4714,330.0 pound
4721,
4722,
4723,
4724,
4742,1.0 kilogram
4744,
4746,180.0 kilogram
4749,14.90 volt
4752,5.0 volt
4753,18.0 volt
4754,
4755,12.0 volt
4758,5.0 volt
4769,
4770,2000.0 watt
4784,
4785,
4786,880.0 pound
4787,
4788,
4789,
4790,600.0 watt
4791,220.0 volt
4792,85.0 volt
4793,
4795,
4796,
4803,200.0 pound
4805,50.0 gram
4807,
4808,12.05 watt
4837,
4838,1400.0 watt
4839,
4840,
4841,330.0 pound
4846,5.0 volt
4859,1500.0 watt
4860,
4872,9.0 watt
4873,
4877,2000.0 watt
4878,110.0 volt
4879,200.0 pound
4889,
4890,12.0 watt
4892,
4894,250.0 pound
4895,40.0 pound
4896,
4897,1500.0 watt
4898,800.0 watt
4903,5.0 volt
4904,1.50 watt
4916,440.0 pound
4917,
4921,27003.70 volt
4927,
4928,828.0 millilitre
4930,175.0 pound
4931,38.0 volt
4932,
4935,440.0 pound
4937,
4940,
4941,
4946,
4952,
4953,
4954,50.0 pound
4956,330.7 pound
4963,
4964,
4971,5.0 volt
4972,
4986,44.0 watt
4987,
4992,250.0 watt
4993,
4996,150.0 kilogram
4997,
4998,
5000,
5001,
5011,320.0 pound
5012,
5018,
5020,24.0 volt
5022,45.0 watt
5023,946.4 millilitre
5033,60.0 watt
5047,
5048,
5049,
5052,
5053,
5058,
5062,265.0 pound
5064,15.0 ounce
5076,
5077,
5078,220.0 volt
5079,750.0 watt
5084,220.0 pound
5085,220.0 volt
5086,
5095,
5096,200.0 watt
5097,
5100,
5113,
5118,150.0 kilogram
5122,
5123,
5128,
5129,
5131,50.0 kilogram
5139,
5141,29607.0 watt
5153,
5154,18.0 volt
5163,
5164,
5167,
5168,20.0 volt
5173,300.0 pound
5182,
5183,"[220.0, 240.0] volt"
5186,300.0 kilogram
5196,1000.0 watt
5198,3000.0 watt
5199,110.0 volt
5203,
5205,1300.0 watt
5206,
5210,110.0 kilogram
5221,
5222,900.0 watt
5231,40.0 kilogram
5235,750.0 millilitre
5246,
5250,700.0 watt
5251,
5258,8.0 volt
5259,1185.0 watt
5260,120.0 volt
5263,"[220.0, 240.0] volt"
5264,
5270,66.0 pound
5271,
5283,
5285,
5286,1500.0 watt
5297,
5298,
5304,900.0 watt
5312,32.0 pound
5318,355.0 pounds
5322,
5323,12.0 volt
5328,
5329,
5337,250.0 pound
5338,
5339,
5340,
5341,14.18 watt
5347,12.0 volt
5348,
5350,
5351,2.0 watt
5364,200.0 pound
5365,1.2 pound
5378,220.0 pound
5384,12.0 volt
5385,
5386,
5394,
5398,
5399,
5401,220.0 pound
5403,
5407,120.0 volt
5414,
5415,10.0 watt
5426,325.0 millilitre
5428,
5429,5.0 volt
5436,
5443,330.0 pound
5445,30.0 millilitre
5446,120.0 volt
5447,
5448,
5453,
5454,
5457,55.0 pound
5459,1300.0 watt
5460,
5463,
5464,
5465,45.0 watt
5466,22.0 pound
5467,3.70 volt
5469,
5474,
5475,330.0 pound
5476,2500.0 pound
5484,300.0 watt
5485,
5488,330.0 pound
5490,
5491,
5492,265.0 pound
5493,
5498,
5499,
5502,
5505,110.0 volt
5506,3500.0 watt
5512,120.0 pound
5518,
5524,
5527,
5528,
5538,
5539,
5540,
5544,
5545,330.0 millilitre
5546,946.0 millilitre
5554,
5556,12.0 volt
5561,
5568,
5570,
5574,150.0 kilogram
5582,350.0 pound
5585,1800.0 watt
5589,330.0 pound
5590,
5591,
5595,200.0 pound
5596,220.0 pound
5601,
5602,
5604,
5605,
5612,355.0 millilitre
5613,
5614,
5623,
5624,
5655,260.0 pound
5656,220.0 volt
5657,8.0 watt
5664,120.0 watt
5665,
5666,
5667,1450.0 watt
5668,660.0 pound
5675,
5687,
5688,65.80 watt
5692,220.0 volt
5693,1400.0 watt
5694,22.0 pound
5695,
5705,
5706,
5712,300.0 pound
5714,
5715,115.0 volt
5717,
5718,
5719,100.0 kilogram
5724,300.0 pound
5727,
5729,150.0 kilogram
5730,
5731,65.0 pound
5733,
5734,
5738,
5740,900.0 watt
5741,115.0 volt
5742,12.0 volt
5743,21.0 volt
5744,21.0 volt
5758,60.0 pound
5759,177.0 millilitre
5761,
5766,
5770,80.0 pound
5780,7.0 volt
5781,
5784,110.0 volt
5785,3000.0 watt
5791,80.0 volt
5793,12.0 volt
5802,
5809,
5813,
5814,
5824,95.0 pound
5826,
5827,600.0 pound
5828,200.0 pound
5829,20.0 volt
5830,745.0 pound
5839,
5840,
5844,265.0 pound
5845,
5857,
5858,700.0 millilitre
5869,15.0 kilogram
5871,25.0 kilogram
5875,285.0 pound
5883,100.0 kilogram
5885,
5891,
5892,300.0 watt
5899,
5900,
5901,
5903,
5904,14.13 watt
5923,
5926,
5927,
5933,
5940,5.0 volt
5942,150.0 kilogram
5944,800.0 pound
5945,
5947,
5955,80.0 watt
5956,
5957,250.0 pound
5961,21.0 volt
5966,
5967,1200.0 watt
5969,59.0 millilitre
5971,
5978,10.0 kilogram
5983,44.0 watt
5984,
5992,
5994,
6006,
6013,
6014,
6019,
6036,31.5 pound
6037,
6039,129012.0 volt
6042,237.0 millilitre
6044,14.90 volt
6048,150.0 pound
6049,300.0 pound
6050,
6053,
6054,3.0 watt
6064,
6072,550.0 pound
6073,1.0 litre
6076,90.0 pound
6083,250.0 millilitre
6097,
6101,
6102,
6103,100.0 pound
6105,500.0 pound
6111,
6112,1800.0 watt
6113,
6114,18.0 volt
6124,300.0 pound
6127,
6129,1.0 watt
6131,
6132,153.0 watt
6137,350.0 pound
6145,200.0 pound
6154,
6155,
6158,
6159,600.0 watt
6160,250.0 kilogram
6162,
6163,24.0 volt
6166,20.0 volt
6167,
6169,
6170,"[220.0, 240.0] volt"
6178,180.0 pound
6181,
6182,330.0 millilitre
6187,
6198,
6199,
6200,330.0 pound
6203,
6204,230.0 volt
6220,15.0 kilogram
6221,10.0 ton
6225,80.0 millilitre
6239,10.0 watt
6241,2.0 volt
6242,180.0 watt
6248,
6253,
6254,
6258,
6259,
6263,320.0 pound
6265,1.80 watt
6266,
6268,75.0 ton
6272,24.3 pound
6275,4.0 watt
6276,
6279,220.0 pound
6280,
6301,
6304,
6305,17.0 watt
6312,1300.0 watt
6313,
6314,60.0 millilitre
6325,946.0 millilitre
6334,
6335,220.0 volt
6344,77.0 millilitre
6349,500.0 millilitre
6357,
6358,
6361,12.0 volt
6366,
6367,12.0 volt
6373,
6376,300.0 pound
6378,650.0 watt
6380,
6381,450.0 pound
6386,33.0 pound
6387,12.0 volt
6388,
6403,
6405,
6409,200.0 pound
6411,
6418,
6427,
6429,
6445,500.0 millilitre
6448,
6449,
6450,2614.0 watt
6453,100.0 pound
6454,300.0 pound
6459,265.0 pound
6475,
6479,
6480,
6487,7801200.0 watt
6488,
6489,
6499,
6502,120.0 volt
6503,100.0 watt
6504,
6507,
6510,
6511,
6518,
6519,3.70 volt
6524,473.0 millilitre
6525,
6526,
6533,125.0 volt
6534,5.0 watt
6535,650.0 pound
6541,
6546,5.0 gallon
6547,355.0 millilitre
6557,
6561,
6562,
6566,
6567,
6569,8.0 ounce
6571,300.0 pound
6572,
6573,12.0 volt
6575,
6576,
6580,
6583,
6584,
6586,600.0 pound
6594,12.0 volt
6595,
6597,
6618,473.0 millilitre
6622,
6631,
6632,
6635,330.0 millilitre
6643,
6644,
6646,120.0 volt
6647,48.0 watt
6651,1000.0 watt
6652,
6653,
6654,
6655,400.0 pound
6660,21.60 volt
6664,
6665,
6671,350.0 pound
6673,12.0 volt
6676,
6681,60.0 kilogram
6685,
6686,
6689,110.0 volt
6690,135.0 watt
6693,65.0 watt
6723,3.0 kilogram
6743,
6757,40.0 kilogram
6763,
6765,
6766,
6767,1300.0 watt
6768,
6770,750.0 watt
6771,220.0 volt
6775,
6776,1355.0 watt
6777,360.0 pound
6781,
6782,
6783,44.0 pound
6793,40.0 pound
6801,5.0 volt
6802,1600.0 watt
6804,
6806,
6811,355.0 millilitre
6812,
6813,176.0 pound
6815,
6816,"[220.0, 240.0] volt"
6820,
6821,
6823,450.0 pound
6824,30.0 watt
6825,
6827,
6832,
6833,300.0 pound
6842,
6843,110.0 watt
6849,
6857,
6858,35.0 watt
6859,120.0 volt
6865,660.0 pound
6866,
6867,
6868,12.0 volt
6869,4.0 watt
6870,120.0 volt
6871,50.0 pound
6872,
6873,
6874,
6875,
6876,185.0 pound
6885,
6886,600.0 millilitre
6890,18.0 volt
6896,
6897,
6899,
6903,1.50 watt
6904,
6907,
6908,
6909,
6913,40.0 pound
6915,220.0 pound
6916,
6922,48.50 watt
6924,
6925,
6930,265.0 pound
6931,30.0 pound
6948,
6949,230.0 volt
6951,
6952,14.13 watt
6959,
6960,
6962,208.0 volt
6966,
6967,"[220.0, 240.0] volt"
6977,115.0 volt
6978,
6979,
6987,33.0 pound
6990,
6992,
6993,
6994,330.0 pound
6995,120.0 volt
6996,1800.0 watt
7002,1.1 pound
7006,
7008,
7009,
7010,300.0 watt
7018,220.0 pound
7022,1000.0 pound
7026,5.0 volt
7035,
7036,230.0 volt
7040,330.0 pound
7042,
7043,
7044,
7045,
7050,330.0 pound
7051,
7052,12.0 volt
7057,
7058,
7060,50.0 kilogram
7076,
7077,75.0 watt
7078,
7082,800.0 pound
7084,12.0 volt
7085,
7087,
7088,
7092,176.0 pound
7094,
7095,600.0 watt
7100,
7101,1700.0 watt
7122,
7123,250.0 millilitre
7126,
7127,
7130,12.0 volt
7133,
7134,120.0 volt
7135,1500.0 watt
7136,
7142,330.0 pound
7151,120.0 volt
7152,5.0 watt
7154,
7155,
7158,330.0 pound
7159,
7161,
7162,
7163,21.0 volt
7167,
7188,
7189,30.0 pound
7193,
7202,
7203,
7206,700.0 watt
7207,
7229,
7230,296.0 millilitre
7235,45.0 watt
7236,
7240,
7241,
7249,110.0 volt
7259,12.0 volt
7260,1.60 watt
7270,330.0 pound
7278,220.0 pound
7281,
7283,100.0 pound
7287,100.0 watt
7288,12.0 volt
7290,50.0 pound
7292,3.0 millilitre
7298,176.0 pound
7299,1000.0 watt
7300,
7304,
7307,
7309,12.0 volt
7312,800.0 pound
7320,250.0 millilitre
7334,
7335,
7338,
7339,220.0 volt
7350,
7351,
7357,
7358,
7362,
7363,
7365,
7376,150.0 kilogram
7380,
7385,264.0 pound
7387,
7415,18.0 millilitre
7416,
7417,20.0 volt
7419,110.0 volt
7428,20.0 volt
7431,
7440,7.40 volt
7441,
7448,12.0 fluid ounce
7455,
7471,
7476,400.0 volt
7477,10.72 kilowatt
7478,24.0 volt
7479,67.0 watt
7483,145.0 pound
7488,
7489,
7496,100.0 kilogram
7504,
7508,120.0 volt
7509,
7517,1350.0 watt
7518,
7523,800.0 watt
7529,33.0 pound
7534,350.0 pound
7536,
7538,
7540,5.0 volt
7546,240.0 millilitre
7547,12.0 volt
7548,1.10 watt
7551,3.30 volt
7565,120.0 volt
7566,42877.0 watt
7570,40.0 watt
7571,
7577,90.0 kilogram
7578,330.0 pound
7579,18.0 volt
7581,
7584,100.0 gram
7597,330.0 pound
7606,1800.0 watt
7607,
7608,
7611,1.20 watt
7612,24.0 volt
7613,
7622,
7623,
7633,
7634,
7647,
7648,1500.0 watt
7649,
7650,
7652,"[220.0, 240.0] volt"
7653,243.0 pound
7654,
7656,
7657,
7666,150.0 kilogram
7667,
7670,330.0 pound
7671,355.0 millilitre
7685,
7686,
7687,
7696,280.0 watt
7697,
7706,120.0 volt
7709,
7710,
7711,2.0 watt
7712,
7716,55.0 watt
7717,277.0 volt
7719,
7720,115.0 volt
7733,12.0 volt
7737,12.0 volt
7738,3.60 watt
7739,
7740,
7742,30.0 kilogram
7746,120.0 volt
7747,7.0 watt
7755,
7756,
7764,
7765,"[220.0, 240.0] volt"
7769,
7773,500.0 watt
7780,440.0 pound
7783,178.0 volt
7793,
7794,9.60 volt
7806,
7817,
7818,500.0 watt
7826,
7828,
7832,20.0 pound
7835,8.0 pound
7836,220.0 volt
7837,1400.0 watt
7838,
7839,1.0 ton
7841,
7842,
7843,
7844,1600.0 watt
7845,220.0 volt
7846,
7847,
7848,
7849,11.0 pound
7851,125.0 millilitre
7855,
7856,300.0 watt
7857,
7859,50.0 pound
7860,
7861,1800.0 watt
7870,330.0 millilitre
7875,250.0 millilitre
7876,550.0 pound
7889,
7891,286.0 pound
7897,12.0 pound
