,index,prediction
72,1448,
103,1453,
104,1465,26.0 volt
73,1466,2.80 watt
46,1473,1000.0 pound
105,1481,18.0 volt
47,1487,100.0 kilogram
106,1488,
107,1489,18.0 volt
108,1494,
48,1498,300.0 pound
49,1511,
109,1515,12.0 volt
74,1516,
110,1522,12.0 volt
75,1535,2220211000.0 watt
111,1537,110.0 volt
1000,1542,
999,1543,500.0 millilitre
112,1544,
113,1547,
50,1548,800.0 pound
76,1550,
114,1551,
51,1553,330.0 pound
77,1556,
115,1557,
52,1562,330.0 pound
116,1566,
53,1574,
54,1578,22.0 pound
78,1579,
117,1580,
79,1583,710112.0 watt
991,1596,20.0 millilitre
55,1615,14.0 pound
80,1618,1500.0 watt
118,1620,
81,1622,
119,1623,
1247,1625,
120,1626,20.0 volt
82,1627,
121,1628,
122,1634,
123,1639,
56,1640,350.0 pound
124,1654,
83,1663,2338.0 watt
125,1665,
84,1666,66.60 watt
1508,1667,355.0 millilitre
85,1670,
57,1674,187.0 pound
1506,1676,
58,1677,330.0 pound
126,1679,
59,1684,
60,1691,110.0 pound
61,1692,30.0 kilogram
62,1696,100.0 kilogram
63,1698,265.0 pound
86,1699,
127,1700,12.0 volt
1500,1717,325.0 millilitre
64,1721,
87,1724,2930.0 watt
128,1726,110.0 volt
65,1727,150.0 kilogram
66,1729,250.0 kilogram
129,1730,
67,1732,250.0 pound
88,1738,
130,1739,18.0 volt
68,1740,200.0 kilogram
69,1743,110.0 pound
131,1745,120.0 volt
89,1746,750.0 watt
132,1753,
90,1754,4350.0 watt
91,1759,
133,1760,
134,1761,
135,1764,120.0 volt
70,1766,
71,1769,265.0 pound
72,1770,120.0 pound
136,1772,220.0 volt
137,1779,20.0 volt
92,1780,
73,1792,120.0 pound
74,1802,265.0 pound
75,1815,330.0 pound
138,1819,20.0 volt
1536,1820,
93,1824,
139,1825,
140,1831,
141,1836,
142,1846,
94,1847,
76,1855,265.0 pound
77,1858,350.0 pound
78,1859,50.0 pound
1519,1860,600.0 millilitre
79,1861,70.0 pound
95,1867,
143,1868,
144,1875,
80,1876,30.0 pound
96,1878,
97,1879,
145,1881,12.0 volt
146,1889,
81,1895,275.0 pound
147,1896,
82,1900,800.0 pound
83,1907,250.0 pound
148,1914,18.0 volt
84,1916,50.0 kilogram
85,1917,300.0 pound
86,1919,33.0 pound
1461,1927,
1460,1929,0.0 millilitre
149,1934,120.0 volt
150,1937,110.0 volt
98,1938,
87,1939,150.0 kilogram
99,1941,
1458,1942,
1457,1945,
151,1951,
100,1954,
88,1958,1400.0 gram
1464,1960,500.0 millilitre
89,1971,35.0 pound
101,1985,
152,1986,
90,1989,300.0 pound
102,2004,600.0 watt
153,2005,120.0 volt
154,2006,
155,2010,5.0 volt
103,2011,5.50 watt
1448,2017,330.0 millilitre
91,2019,
156,2021,
92,2022,
93,2035,
94,2036,
1444,2037,
95,2038,330.0 pound
96,2040,
157,2053,
104,2059,
158,2061,
159,2064,
1467,2070,121.5 litre
160,2071,127212.0 volt
161,2075,3.80 volt
162,2078,7.45 volt
163,2083,
164,2092,
165,2093,19.20 volt
105,2094,
106,2099,
166,2101,
97,2102,
107,2108,
167,2109,
98,2116,55.0 pound
108,2118,9607.0 watt
109,2125,
168,2126,
99,2130,
169,2135,
110,2136,
111,2139,
170,2140,115.0 volt
112,2144,550.0 watt
171,2146,
113,2148,
100,2154,
101,2159,1000.0 pound
172,2161,12.0 volt
102,2162,
114,2167,
173,2168,
115,2177,1300.0 watt
174,2178,220.0 volt
116,2186,1200.0 watt
175,2187,
1472,2189,500.0 millilitre
176,2190,
177,2204,
1469,2212,
178,2219,
179,2224,120.0 volt
117,2225,1500.0 watt
180,2227,
103,2229,800.0 pound
181,2234,12.0 volt
118,2241,
182,2242,
183,2244,
119,2245,
104,2246,110.0 pound
105,2256,265.0 pound
120,2260,25.0 watt
184,2262,
121,2263,
185,2264,
186,2265,115.0 volt
187,2268,6.0 volt
106,2274,30.0 kilogram
188,2275,110.0 volt
122,2276,
123,2277,
189,2278,
190,2283,
124,2287,
191,2288,
107,2292,
125,2295,
192,2296,
108,2300,210.0 ton
1608,2302,3.0 millilitre
1598,2306,
193,2310,
194,2316,
126,2324,
195,2326,12.0 volt
109,2327,
110,2334,350.0 pound
1592,2335,830.0 millilitre
111,2336,265.0 pound
196,2343,
197,2347,
127,2348,10.0 watt
198,2351,
128,2352,300.0 watt
199,2364,12.0 volt
112,2370,2.0 kilogram
113,2371,15.6 pound
114,2378,150.0 kilogram
129,2383,700.0 watt
115,2386,35.0 pound
116,2397,220.0 pound
130,2404,
131,2431,1000.0 watt
200,2432,
1624,2434,12.0 fluid ounce
201,2435,
132,2436,
133,2444,
202,2445,
134,2451,
203,2452,
135,2461,900.0 watt
204,2462,220.0 volt
205,2464,
206,2470,
136,2480,3.60 watt
207,2481,24.0 volt
1616,2483,
208,2488,
137,2489,700.0 watt
209,2492,12.0 volt
210,2497,
1613,2499,
117,2501,
118,2508,200.0 kilogram
211,2510,
138,2511,100.0 watt
1612,2516,200.0 millilitre
212,2521,
139,2522,
119,2523,
213,2525,
140,2526,300.0 watt
120,2541,
141,2542,500.0 watt
121,2551,250.0 kilogram
122,2561,265.0 pound
214,2563,
142,2564,2000.0 watt
123,2567,
215,2569,5.02 volt
143,2570,
216,2571,
217,2574,
218,2576,21.60 volt
124,2578,700.0 pound
219,2579,
144,2580,
220,2582,120.0 volt
145,2583,60.0 watt
125,2589,18.0 pound
126,2597,10.0 pound
127,2603,264.5 pound
221,2616,
146,2617,
128,2618,330.0 pound
129,2627,30.0 pound
147,2628,
222,2629,
130,2630,200.0 pound
131,2632,10.0 pound
148,2633,3.0 watt
223,2634,110.0 volt
132,2639,100.0 pound
224,2643,"[220.0, 240.0] volt"
149,2644,
133,2646,330.0 pound
150,2653,
225,2654,
134,2657,600.0 pound
1545,2658,414.0 millilitre
226,2659,12.0 volt
135,2664,2500.0 pound
136,2673,100.0 kilogram
151,2685,
227,2686,
228,2688,
152,2689,4.0 watt
229,2690,15.0 volt
137,2695,
138,2702,600.0 pound
230,2706,15.0 volt
231,2707,
139,2713,330.0 pound
140,2715,30.0 pound
1578,2728,
232,2731,
141,2732,
233,2733,40101.0 volt
153,2734,1.17 watt
154,2735,
234,2736,
155,2737,
235,2738,
236,2744,4.20 volt
237,2754,
156,2759,1570.0 watt
238,2760,
142,2763,75.0 pound
143,2774,330.0 pound
239,2777,
157,2778,120.0 watt
240,2780,220.0 volt
144,2783,200.0 pound
145,2808,45.0 pound
241,2812,
158,2813,
242,2815,
159,2816,
146,2819,15.0 pound
243,2820,
147,2825,11.0 pound
160,2826,1200.0 watt
244,2827,120.0 volt
245,2828,
161,2829,1350.0 watt
162,2833,1600.0 watt
148,2840,
246,2841,
247,2844,
163,2845,
149,2850,80.0 pound
1442,2854,20.0 millilitre
248,2856,
249,2857,
250,2862,16.80 volt
164,2863,
165,2866,15.0 watt
251,2870,
150,2877,65.0 gram
252,2889,
151,2894,
253,2895,
166,2896,
254,2907,18.0 volt
255,2914,3.0 volt
167,2917,1200.0 watt
256,2918,
152,2932,265.0 pound
153,2933,25.0 kilogram
154,2940,154.0 pound
257,2941,
258,2946,
168,2954,1.25 watt
259,2955,14.0 volt
169,2956,
260,2957,80.0 volt
261,2962,
262,2965,
263,2967,
170,2978,1150.0 watt
264,2979,
155,2986,330.0 pound
265,2987,
171,2989,
266,2990,
156,2991,50.0 gram
267,2996,
172,2997,5.0 watt
157,2999,150.0 kilogram
1299,3008,
173,3013,
268,3014,
174,3015,1000.0 watt
269,3016,
175,3018,
270,3020,3.70 volt
271,3024,12.0 volt
272,3027,
158,3029,300.0 pound
273,3030,
274,3034,220.0 volt
176,3035,2000.0 watt
177,3039,1.95 watt
275,3040,50152.0 volt
159,3044,
178,3051,4.0 watt
276,3058,
160,3059,1000.0 pound
179,3062,
277,3063,
161,3065,330.0 pound
1336,3068,443.0 millilitre
278,3071,
180,3075,
181,3082,120.0 watt
279,3084,
162,3092,300.0 pound
182,3101,
163,3107,200.0 gram
164,3108,286.0 pound
1327,3115,470.0 millilitre
280,3116,15.0 volt
165,3118,22.0 pound
1326,3120,
183,3121,
184,3125,
281,3138,
166,3139,
167,3143,65.0 pound
168,3145,330.0 pound
185,3146,
186,3147,
282,3148,
283,3149,
284,3152,
285,3167,
169,3168,120.0 pound
286,3174,
287,3175,
187,3176,
288,3182,
188,3183,
289,3190,120.0 volt
170,3191,1000.0 pound
189,3194,
290,3195,18.0 volt
190,3197,800.0 watt
291,3198,110.0 volt
171,3199,150.0 kilogram
191,3200,250.0 watt
292,3201,
172,3204,220.0 pound
173,3207,
174,3208,200.0 pound
293,3209,
192,3211,
175,3214,300.0 pound
294,3215,
193,3216,
295,3221,
194,3222,1500.0 watt
296,3234,
195,3239,
196,3244,
297,3245,
298,3246,30.0 millivolt
299,3249,9.0 volt
197,3253,
198,3254,1500.0 watt
300,3255,
1264,3256,
1263,3257,20.0 millilitre
1262,3258,
176,3262,350.0 pound
177,3264,44.0 pound
178,3265,
199,3266,1300.0 watt
301,3268,
200,3274,
302,3275,
1258,3287,
1255,3290,500.0 millilitre
303,3291,5.0 volt
201,3292,48.0 watt
304,3294,
305,3297,
306,3303,
307,3317,
179,3321,15.0 kilogram
308,3323,
309,3324,
310,3325,
311,3326,
312,3327,
202,3328,600.0 watt
180,3333,25.0 pound
181,3336,4.0 pound
182,3338,60.0 pound
183,3347,200.0 pound
313,3348,
184,3349,17.0 pound
185,3351,
1274,3352,
314,3359,
203,3360,250.0 watt
204,3367,1000.0 watt
315,3368,
186,3369,
187,3370,
188,3373,90.0 kilogram
316,3378,
205,3381,1800.0 watt
317,3382,
1291,3383,
189,3384,330.0 pound
190,3395,100.0 pound
191,3396,300.0 kilogram
206,3398,
318,3400,
319,3403,
192,3406,750.0 pound
207,3415,
320,3416,
321,3423,
322,3424,3.60 volt
208,3427,
323,3428,230.0 volt
324,3434,21.0 volt
193,3442,220.0 pound
1288,3446,
209,3454,
325,3455,
194,3456,
1295,3457,340.0 millilitre
1282,3467,
326,3468,
210,3469,8.0 watt
327,3471,3.70 volt
211,3489,
195,3503,330.0 pound
196,3511,
328,3520,
212,3521,
197,3522,250.0 pound
198,3525,
329,3526,
1413,3529,250.0 millilitre
199,3535,220.0 pound
330,3536,
331,3541,
213,3542,2.0 watt
200,3551,560.0 pound
201,3562,200.0 pound
214,3567,
332,3568,
333,3570,
334,3577,12.0 volt
215,3578,
335,3581,230.0 volt
216,3582,5958.0 watt
1415,3594,
336,3595,115.0 volt
217,3600,38.0 watt
337,3606,
202,3620,286.0 pound
203,3623,276.0 pound
1398,3625,
204,3627,5.0 ton
205,3628,300.0 pound
338,3629,
218,3630,1700.0 watt
339,3631,
206,3637,75.0 kilogram
207,3638,220.0 pound
219,3640,1700.0 watt
340,3641,
208,3648,
1416,3649,
209,3650,1500.0 pound
341,3653,220.0 volt
220,3654,
210,3658,
342,3666,110.0 volt
343,3667,
1437,3668,
1435,3674,500.0 millilitre
344,3689,
345,3690,
346,3705,
347,3709,
211,3710,
221,3711,22.0 watt
348,3712,
212,3715,250.0 pound
1428,3716,
222,3717,
349,3718,
223,3720,
350,3721,
351,3728,127.0 volt
213,3737,300.0 pound
214,3739,450.0 pound
352,3742,
224,3743,1000.0 watt
215,3747,285.0 pound
353,3748,
225,3749,
216,3753,250.0 pound
354,3764,
355,3771,12.0 volt
226,3773,250.0 watt
217,3774,100.0 pound
356,3783,
1392,3786,
218,3787,1400.0 gram
357,3793,8.0 volt
219,3798,265.0 pound
227,3808,
358,3809,12.0 volt
228,3810,
359,3811,
220,3813,180.0 pound
360,3825,
229,3827,120.0 watt
230,3834,
361,3835,
221,3836,330.0 pound
222,3841,
1360,3849,
362,3850,
231,3851,
363,3854,
223,3861,33.0 pound
364,3863,
224,3866,32.0 pound
225,3883,34.0 gram
365,3887,
226,3893,
227,3909,2.4 kilogram
366,3912,5.0 volt
228,3917,250.0 kilogram
229,3922,400.0 pound
1354,3923,
230,3924,265.0 pound
367,3928,400.0 volt
232,3929,0.29 kilowatt
368,3946,
233,3947,
231,3950,300.0 pound
369,3951,
232,3952,
370,3953,12.0 volt
371,3957,
372,3961,
373,3963,
374,3967,
234,3973,2400.0 watt
235,3975,
375,3976,
233,3977,150.0 kilogram
234,3982,400.0 pound
376,3984,
236,3985,15.71 watt
377,3988,
237,3989,300.0 watt
1356,3999,100.0 millilitre
1369,4001,
378,4007,
235,4013,450.0 pound
236,4014,330.0 pound
238,4024,
1389,4038,8.0 fluid ounce
239,4039,
379,4040,
380,4053,3.70 volt
381,4065,
237,4066,600.0 pound
240,4068,1800.0 watt
382,4072,5.0 volt
383,4076,
1388,4077,16.0 fluid ounce
241,4079,
384,4080,5.0 volt
242,4084,825.0 watt
238,4085,180.0 kilogram
1387,4087,35.0 millilitre
239,4089,287.0 pound
385,4090,
243,4091,65.0 watt
386,4093,110.0 volt
1384,4099,
240,4105,660.0 pound
387,4116,
388,4120,110.0 volt
389,4124,
390,4125,120.0 volt
391,4127,5.0 volt
1379,4128,30.0 millilitre
392,4139,24.0 volt
244,4140,
245,4142,12200.0 watt
246,4144,1140.0 watt
393,4145,115.0 volt
247,4149,900.0 watt
248,4152,700.0 watt
394,4159,3.70 volt
1375,4162,
395,4163,
241,4169,330.0 pound
242,4170,330.0 pound
243,4178,800.0 pound
396,4195,
244,4196,
249,4201,60.0 watt
250,4202,700.0 watt
397,4208,
245,4209,220.0 pound
398,4210,220.0 volt
251,4211,500.0 watt
252,4216,
399,4217,20.0 volt
253,4234,
400,4235,12.0 volt
246,4240,507.0 pound
1374,4251,500.0 millilitre
247,4252,400.0 pound
1376,4256,
248,4266,800.0 pound
249,4267,150.0 kilogram
401,4278,327.0 volt
254,4279,17.0 watt
402,4280,110.0 volt
255,4281,
403,4292,
250,4298,
404,4302,
256,4303,
257,4305,
405,4306,
258,4308,
406,4309,
407,4312,
408,4322,
409,4326,
251,4327,330.0 pound
259,4332,5005000.0 watt
410,4333,
411,4342,
412,4345,
252,4347,220.0 pound
260,4348,
413,4349,115.0 volt
414,4352,
261,4353,1350.0 watt
1351,4366,266.0 millilitre
262,4369,1100.0 watt
415,4372,
416,4375,
253,4379,
417,4383,3.70 volt
418,4384,20.0 volt
419,4388,
420,4391,
263,4392,
254,4393,
255,4396,
264,4405,
421,4417,
422,4419,
423,4425,
424,4426,
256,4428,330.0 pound
1359,4434,
425,4437,20.0 volt
257,4438,59.0 pound
1364,4444,
265,4446,
426,4447,
258,4449,5.0 kilogram
259,4450,200.0 pound
266,4453,
427,4455,
428,4456,24.0 volt
429,4459,
267,4460,
430,4466,
431,4467,
432,4468,14.40 volt
1422,4475,
260,4487,15.0 kilogram
261,4489,220.0 pound
268,4492,
433,4493,
434,4494,20.0 volt
269,4495,
435,4499,
270,4500,
271,4504,
436,4505,
262,4511,
272,4512,
437,4513,230.0 volt
273,4514,
438,4516,12.0 volt
439,4520,
440,4521,
263,4523,
264,4540,440.0 pound
274,4543,
441,4544,
275,4545,
442,4549,
265,4556,7.0 gram
443,4566,
444,4572,
276,4575,1500.0 watt
445,4576,
266,4603,400.0 pound
267,4605,2.0 ton
277,4606,14.13 watt
446,4607,
447,4617,4.20 volt
268,4619,180.0 pound
448,4620,
1403,4629,
449,4630,80.0 volt
278,4631,
269,4635,110.0 pound
279,4638,
450,4639,
451,4642,
1408,4651,
270,4654,550.0 pound
452,4659,
453,4663,
280,4664,120.0 watt
271,4668,110.0 pound
454,4671,
1412,4676,330.0 millilitre
281,4683,
455,4684,
1414,4685,500.0 millilitre
272,4686,150.0 pound
1296,4692,430.0 millilitre
456,4703,
282,4704,1050.0 watt
273,4708,
1283,4711,
274,4714,330.0 pound
457,4721,
283,4722,
284,4723,
458,4724,
275,4742,1.0 kilogram
276,4744,
277,4746,180.0 kilogram
459,4749,14.90 volt
460,4752,5.0 volt
461,4753,18.0 volt
285,4754,
462,4755,12.0 volt
463,4758,5.0 volt
464,4769,
286,4770,2000.0 watt
287,4784,
465,4785,
278,4786,880.0 pound
466,4787,
288,4788,
467,4789,
289,4790,600.0 watt
468,4791,220.0 volt
469,4792,85.0 volt
290,4793,
291,4795,
470,4796,
279,4803,200.0 pound
280,4805,50.0 gram
471,4807,
292,4808,12.05 watt
472,4837,
293,4838,1400.0 watt
473,4839,
294,4840,
281,4841,330.0 pound
474,4846,5.0 volt
295,4859,1500.0 watt
475,4860,
296,4872,9.0 watt
476,4873,
297,4877,2000.0 watt
477,4878,110.0 volt
282,4879,200.0 pound
478,4889,
298,4890,12.0 watt
283,4892,
284,4894,250.0 pound
285,4895,40.0 pound
479,4896,
299,4897,1500.0 watt
300,4898,800.0 watt
480,4903,5.0 volt
301,4904,1.50 watt
286,4916,440.0 pound
287,4917,
481,4921,27003.70 volt
482,4927,
1320,4928,828.0 millilitre
288,4930,175.0 pound
483,4931,38.0 volt
302,4932,
289,4935,440.0 pound
484,4937,
485,4940,
303,4941,
486,4946,
1325,4952,
487,4953,
290,4954,50.0 pound
291,4956,330.7 pound
488,4963,
304,4964,
489,4971,5.0 volt
305,4972,
306,4986,44.0 watt
490,4987,
307,4992,250.0 watt
491,4993,
292,4996,150.0 kilogram
492,4997,
308,4998,
309,5000,
493,5001,
293,5011,320.0 pound
494,5012,
495,5018,
496,5020,24.0 volt
310,5022,45.0 watt
1337,5023,946.4 millilitre
311,5033,60.0 watt
497,5047,
498,5048,
312,5049,
499,5052,
313,5053,
1341,5058,
294,5062,265.0 pound
295,5064,15.0 ounce
314,5076,
500,5077,
501,5078,220.0 volt
315,5079,750.0 watt
296,5084,220.0 pound
502,5085,220.0 volt
316,5086,
503,5095,
317,5096,200.0 watt
504,5097,
505,5100,
506,5113,
297,5118,150.0 kilogram
507,5122,
318,5123,
508,5128,
319,5129,
298,5131,50.0 kilogram
509,5139,
320,5141,29607.0 watt
321,5153,
510,5154,18.0 volt
511,5163,
322,5164,
512,5167,
513,5168,20.0 volt
299,5173,300.0 pound
323,5182,
514,5183,"[220.0, 240.0] volt"
300,5186,300.0 kilogram
324,5196,1000.0 watt
325,5198,3000.0 watt
515,5199,110.0 volt
516,5203,
326,5205,1300.0 watt
517,5206,
301,5210,110.0 kilogram
518,5221,
327,5222,900.0 watt
302,5231,40.0 kilogram
1569,5235,750.0 millilitre
303,5246,
328,5250,700.0 watt
519,5251,
520,5258,8.0 volt
329,5259,1185.0 watt
521,5260,120.0 volt
522,5263,"[220.0, 240.0] volt"
330,5264,
304,5270,66.0 pound
1577,5271,
523,5283,
524,5285,
331,5286,1500.0 watt
332,5297,
525,5298,
333,5304,900.0 watt
305,5312,32.0 pound
306,5318,355.0 pounds
334,5322,
526,5323,12.0 volt
335,5328,
527,5329,
307,5337,250.0 pound
528,5338,
336,5339,
529,5340,
337,5341,14.18 watt
530,5347,12.0 volt
338,5348,
531,5350,
339,5351,2.0 watt
308,5364,200.0 pound
309,5365,1.2 pound
310,5378,220.0 pound
532,5384,12.0 volt
533,5385,
340,5386,
534,5394,
535,5398,
341,5399,
311,5401,220.0 pound
312,5403,
536,5407,120.0 volt
537,5414,
342,5415,10.0 watt
1587,5426,325.0 millilitre
343,5428,
538,5429,5.0 volt
313,5436,
314,5443,330.0 pound
1615,5445,30.0 millilitre
539,5446,120.0 volt
344,5447,
540,5448,
541,5453,
345,5454,
315,5457,55.0 pound
346,5459,1300.0 watt
542,5460,
543,5463,
544,5464,
347,5465,45.0 watt
316,5466,22.0 pound
545,5467,3.70 volt
546,5469,
547,5474,
317,5475,330.0 pound
318,5476,2500.0 pound
348,5484,300.0 watt
548,5485,
319,5488,330.0 pound
549,5490,
349,5491,
320,5492,265.0 pound
321,5493,
550,5498,
350,5499,
1626,5502,
551,5505,110.0 volt
351,5506,3500.0 watt
322,5512,120.0 pound
552,5518,
323,5524,
352,5527,
553,5528,
353,5538,
554,5539,
555,5540,
556,5544,
1589,5545,330.0 millilitre
1590,5546,946.0 millilitre
557,5554,
558,5556,12.0 volt
559,5561,
560,5568,
354,5570,
324,5574,150.0 kilogram
325,5582,350.0 pound
355,5585,1800.0 watt
326,5589,330.0 pound
561,5590,
356,5591,
327,5595,200.0 pound
328,5596,220.0 pound
562,5601,
357,5602,
563,5604,
358,5605,
1606,5612,355.0 millilitre
564,5613,
329,5614,
565,5623,
566,5624,
330,5655,260.0 pound
567,5656,220.0 volt
359,5657,8.0 watt
360,5664,120.0 watt
568,5665,
569,5666,
361,5667,1450.0 watt
331,5668,660.0 pound
332,5675,
570,5687,
362,5688,65.80 watt
571,5692,220.0 volt
363,5693,1400.0 watt
333,5694,22.0 pound
1475,5695,
572,5705,
573,5706,
334,5712,300.0 pound
364,5714,
574,5715,115.0 volt
1479,5717,
575,5718,
335,5719,100.0 kilogram
336,5724,300.0 pound
1480,5727,
337,5729,150.0 kilogram
365,5730,
338,5731,65.0 pound
576,5733,
366,5734,
577,5738,
367,5740,900.0 watt
578,5741,115.0 volt
579,5742,12.0 volt
580,5743,21.0 volt
581,5744,21.0 volt
339,5758,60.0 pound
1484,5759,177.0 millilitre
582,5761,
340,5766,
341,5770,80.0 pound
583,5780,7.0 volt
584,5781,
585,5784,110.0 volt
368,5785,3000.0 watt
586,5791,80.0 volt
587,5793,12.0 volt
1453,5802,
1447,5809,
588,5813,
369,5814,
342,5824,95.0 pound
589,5826,
343,5827,600.0 pound
344,5828,200.0 pound
590,5829,20.0 volt
345,5830,745.0 pound
370,5839,
591,5840,
346,5844,265.0 pound
592,5845,
593,5857,
1450,5858,700.0 millilitre
347,5869,15.0 kilogram
348,5871,25.0 kilogram
349,5875,285.0 pound
350,5883,100.0 kilogram
594,5885,
595,5891,
371,5892,300.0 watt
596,5899,
372,5900,
597,5901,
598,5903,
373,5904,14.13 watt
351,5923,
599,5926,
600,5927,
601,5933,
602,5940,5.0 volt
352,5942,150.0 kilogram
353,5944,800.0 pound
354,5945,
603,5947,
374,5955,80.0 watt
604,5956,
355,5957,250.0 pound
605,5961,21.0 volt
606,5966,
375,5967,1200.0 watt
1528,5969,59.0 millilitre
1529,5971,
356,5978,10.0 kilogram
376,5983,44.0 watt
607,5984,
377,5992,
357,5994,
1494,6006,
378,6013,
608,6014,
358,6019,
359,6036,31.5 pound
1505,6037,
609,6039,129012.0 volt
1510,6042,237.0 millilitre
610,6044,14.90 volt
360,6048,150.0 pound
361,6049,300.0 pound
611,6050,
612,6053,
379,6054,3.0 watt
613,6064,
362,6072,550.0 pound
1250,6073,1.0 litre
363,6076,90.0 pound
1248,6083,250.0 millilitre
614,6097,
364,6101,
989,6102,
365,6103,100.0 pound
366,6105,500.0 pound
615,6111,
380,6112,1800.0 watt
616,6113,
617,6114,18.0 volt
367,6124,300.0 pound
618,6127,
381,6129,1.0 watt
619,6131,
382,6132,153.0 watt
368,6137,350.0 pound
369,6145,200.0 pound
383,6154,
620,6155,
621,6158,
384,6159,600.0 watt
370,6160,250.0 kilogram
385,6162,
622,6163,24.0 volt
623,6166,20.0 volt
386,6167,
387,6169,
624,6170,"[220.0, 240.0] volt"
371,6178,180.0 pound
372,6181,
1003,6182,330.0 millilitre
625,6187,
388,6198,
626,6199,
373,6200,330.0 pound
389,6203,
627,6204,230.0 volt
374,6220,15.0 kilogram
375,6221,10.0 ton
